link_id,road_name,lon,lat,road_level,road_width
24,四平路,121.48858204000001,31.25810771,4,20
24,四平路,121.48851534,31.257834869999996,4,20
24,四平路,121.48842844,31.25757416,4,20
24,四平路,121.48824559,31.25715275,4,20
25,四平路,121.48824559,31.25715275,4,20
25,四平路,121.48805115,31.25675399,4,20
25,四平路,121.48787008,31.25638438,4,20
25,四平路,121.48743612,31.25549857,4,20
25,四平路,121.48735458,31.255333209999996,4,20
25,四平路,121.48691167,31.254435010000005,4,20
25,四平路,121.48686619,31.25434053,4,20
25,四平路,121.48675906,31.25414006,4,20
26,四平路,121.48998786,31.26229431,4,20
26,四平路,121.48977084,31.26178076,4,20
27,四平路,121.50139906,31.27490897,4,20
27,四平路,121.50148802,31.27499142,4,20
28,四平路,121.5016257,31.2748708,4,20
28,四平路,121.50153699,31.27479246,4,20
29,四平路,121.4995027,31.273168839999997,4,20
29,四平路,121.49988688,31.27351345,4,20
29,四平路,121.4999414,31.27356309,4,20
29,四平路,121.50013319,31.27373155,4,20
29,四平路,121.50152057,31.27496539,4,20
30,四平路,121.49954996000001,31.27312771,4,20
30,四平路,121.50028772,31.2737822,4,20
30,四平路,121.50157926,31.274912110000002,4,20
